,x,y,limb
0,0.37666666666666665,0.7336734693877551,left_hand
1,0.5833333333333334,0.7397959183673469,right_hand
2,0.37333333333333335,0.9316326530612244,left_foot
3,0.6116666666666667,0.9357142857142857,right_foot
4,0.2966666666666667,0.5326530612244897,left_hand
5,0.5933333333333334,0.7336734693877551,right_foot
6,0.14333333333333334,0.6918367346938775,left_foot
7,0.6083333333333333,0.336734693877551,right_hand
8,0.465,0.3346938775510204,left_hand
9,0.6833333333333333,0.5387755102040817,right_foot
10,0.37833333333333335,0.5377551020408163,left_hand
11,0.44333333333333336,0.639795918367347,left_foot
12,0.765,0.12857142857142856,right_hand
13,0.545,0.4785714285714286,left_foot
14,0.8533333333333334,0.4346938775510204,right_foot
15,0.7683333333333333,0.13163265306122449,left_hand
